,Ax,Qx,Ay,Qy,Azeta,Qzeta
0,(0.6724077087522546-3.9146892433210243j),0.31057116217406583,(0.4720331245823334-4.002670389775786j),0.3205504095588543,(0.16907750312195877+0.0033023600688749525j),-0.0018000303000632125
1,(-2.0076844989000633-0.30043939452392104j),0.31237119243242567,(-2.089103847410853-0.2876132133064255j),0.31875037926824024,(0.003065413898540142-5.085537866026863e-05j),0.001800030298674573
2,(-2.0425185595295554-0.39603156595939176j),0.308771131882477,(-2.118356126808187-0.20816793786477827j),0.32235043977085875,(-0.001030317586557833-5.738072385505398e-05j),-0.005400090899690621
3,(-0.06814377319074713+0.5313080835225291j),0.3141712228158791,(-0.08173808622685+0.5189049654381152j),0.3169503492116265,(0.0005011543301359109-2.6426067922549398e-05j),0.005400090899682651
4,(-0.09324717693992833+0.42988773867682584j),0.3069711017709578,(-0.03874570209388945+0.49244923120369866j),0.3241504700649342,(-8.516406609993638e-08-0.00010252345799678001j),-1.3803055546894168e-11
5,(0.10606596710701274+0.011361507207096779j),0.315971254121289,(0.07506115595475203-0.094180386948899j),0.3670783981190374,(8.439562663457623e-06+7.764341092219602e-07j),-0.009000151523954274
6,(0.04100792815946839-0.04714902040094343j),0.3570991507210032,(0.06291730305262898-0.09002478209667424j),0.37067845858266346,(-5.542799755850654e-06+4.93423497556465e-07j),0.00900015147270081
7,(0.05601379964691133+0.013511308438441443j),0.305171071385797,(0.09379658027779857+0.01665012119940197j),0.3151503186257294,(1.1956548114367621e-07-3.096421934574763e-06j),-0.0036000606331783188
8,(0.03352777940715145-0.04354721136974065j),0.360699210549252,(0.07476672929137226-0.03901985527680459j),0.35709915075663345,(4.4207790727838054e-08+1.18529330494216e-06j),0.0036000607120852722
9,(-0.025170131332557227-0.04029820369593886j),1.0090117774689955e-10,(0.07854167718053427+0.004646497198246341j),0.32595049968821793,(-7.317002030812578e-08-9.402782597480863e-09j),-0.012600209988037526
10,(-0.03914058898833087+0.0028277276038679716j),0.3770576455870651,(0.059956418955295215-0.036904330617353806j),0.36069921191198295,(-5.5296199013663986e-08-4.745088072985707e-08j),-0.009979246291877695
11,(-0.03705906944608627+0.00568608424638303j),0.3806577060703073,(0.05386450492416607+0.045709167020005645j),0.3652783674831994,(-5.217541040292417e-09+6.993194324971286e-08j),-0.007200121234045746
12,(0.026339712222135395+0.02431928605084209j),0.3552991204045483,(-0.04879706082887151-0.03642983644405874j),0.3688784281701649,(4.663932128698687e-08-4.294125304751453e-08j),-0.04472795781977469
13,(-0.03187184674998573+0.008746244884275601j),0.3305296637140551,(0.04670460923367226+0.030453156442044497j),0.3724784888552913,(4.3386772879441497e-08+3.9988415371271895e-08j),0.044727957819968286
14,(-0.0236008600101961-0.019351468775684725j),0.3588991807783918,(0.02144874526101467+0.04480515802215728j),0.3552991202706371,(5.4328119055717003e-08-6.824090100116465e-09j),0.012600214332845515
15,(0.023685419213691362+0.01713337736502019j),0.36249924334511135,(-0.019710689953887726-0.034927344477020575j),0.3588991798775037,(-4.0451563087583247e-08+3.389506582046001e-08j),0.009979246323489328
16,(-0.0008137288828805551-0.02346082521978407j),0.37525761643456296,(0.02022040421850596+0.03035726766281297j),0.36249923602749756,(3.3727639893010144e-08+3.794054061401016e-08j),-0.04652798941411174
17,(0.002354897942359056+0.020613988427256213j),0.37885767519173685,(0.0006493518549872695-0.03428263337787128j),0.009979247236250434,(3.150745821161331e-08-3.5402112590773284e-08j),0.04652798940081155
18,(-0.003545024686548176-0.017951151659087942j),0.38245773671677236,(-0.0016282174984627638-0.02822013537140011j),-3.1479552839332455e-11,(3.572492724871133e-08-2.8671248091151497e-08j),-0.05192808294988545
19,(0.0015810948237803195-0.018345898062462423j),0.3177712869337572,(-0.017602665006941975+0.01951005594312468j),0.36347833375794414,(2.7830954864707965e-08+3.3527762799065264e-08j),-0.0501280474747959
20,(0.0040129582889174426+0.016279762812491355j),0.32872963769042807,(-0.022660402184497202-0.012903527145593471j),0.30059191486087394,(3.35984916569119e-08+2.6997111215495256e-08j),0.05192808279775215
21,(0.0052358283312207345+0.017383632306757997j),0.33232968070752406,(-0.014297795613505835-0.016282752866933786j),-0.00997924722686832,(2.620219789978248e-08-3.1525516647972196e-08j),0.05012804753964937
22,(0.006844258707177672+0.012670224333470379j),0.3670783969884676,(0.01950126447637358+0.0037024462660231886j),-0.3670783980490063,(1.568400848542625e-08-3.7151293093598236e-08j),-0.03474871022837416
