,Ax,Qx,Ay,Qy,Azeta,Qzeta
0,(0.2734339007727208-2.376221923144743j),0.31026160237856365,(0.20130090091162628-2.4156259875960213j),0.3201732670106819,(0.16907846729373088+0.0032377779819747635j),-0.0018000512428828159
1,(-1.2372445619964667-0.1687582810686653j),0.3084615511207028,(-1.2444944316245297-0.127539650321276j),0.31837321575402644,(0.003066464897378311-4.970233072812176e-05j),0.0018000512413081278
2,(-1.2129082314451276-0.11364820207929102j),0.3120616536156115,(-1.2596553341547079-0.08091284614223616j),0.3219733182468122,(-0.0010303871386631994-5.620037932563249e-05j),-0.005400153728058141
3,(-0.023328295984378227+0.3195828129380406j),0.31386170484711445,(-0.03729394939303698+0.3063542998361884j),0.3165731645109414,(0.0005011814150122757-2.5851661104132352e-05j),0.005400153728208125
4,(-0.04122719305431975+0.2600445512461871j),0.3066614998856175,(-0.013039797424152854+0.288441311084014j),0.32377336949100954,(4.856137082191126e-06-4.072247906096322e-05j),0.0
5,(0.06353944147347704+0.0033367683628582694j),0.3156617562509201,(0.05504505572917454+0.0077661632675113555j),0.3147731134222599,(8.441137944855546e-06+7.603234467453589e-07j),-0.00900025623943161
6,(0.033864645713844815+0.0061584055250942515j),0.30486144864454423,(0.04530553043986686+0.0011885294563666958j),0.3255734207103216,(-5.543767689022031e-06+4.828419093703641e-07j),0.009000256185472833
7,(0.015460716702847658-0.015328046228012723j),0.35785341474541493,(0.029156330018021894-0.030487872874004614j),0.36776507930148317,(-4.885071070394558e-06-1.070056778533365e-07j),-8.2616164874527e-11
8,(0.012805813389954554-0.014284969893406312j),0.3614535172153,(0.024862870108921964-0.029477975629460067j),0.3713651818399307,(1.1727625307356607e-07-3.0985947219195827e-06j),-0.003600102515045076
9,(-0.009762742009659419-0.01497888546625629j),0.0,(0.026238871793427914-0.011597385267743244j),0.3578534147480764,(4.33266921682544e-08+1.186141457583146e-06j),0.003600102518751731
10,(-0.01385104720756168-0.0005433352463593444j),0.3776767440064833,(0.017160052497714556+0.017442641690286934j),0.3659650287142132,(-7.319782969916197e-08-9.213159226717e-09j),-0.012600360328022062
11,(-0.013264713274476096+0.000525924959983376j),0.3812768465601556,(0.02133085147389027-0.011284627427123078j),0.36145351737580633,(-5.115919004312651e-09+6.997818178123277e-08j),-0.00720020406608692
12,(0.008380399124462102+0.00896356045274538j),0.35605336350862565,(0.015237093517789521+0.012041340416111804j),0.37316523333768026,(5.4346526486081336e-08-6.673646716946747e-09j),0.01260035730896126
13,(-0.008006113420802806-0.007625213369759526j),0.35965346603220877,(-0.01626819696294895-0.014605639441211115j),0.3695651306717872,(-1.850572225246216e-08-2.421223333993646e-08j),-0.009911662583357623
14,(0.0003542314543709443-0.010949068504178018j),0.31746180532893853,(0.006166383964262375+0.01535995774200252j),0.3560533634866876,(-1.3511730615763246e-08+1.7293822392647836e-08j),0.009911662613062177
15,(0.007689762518146148+0.006496790433235939j),0.3632535682689997,(-0.006167729463311447-0.012805726668021758j),0.3596534659518421,(1.1415381413443333e-09+1.7298605310837442e-08j),0.007200207296484535
16,(0.0006267410628784297-0.008225352926293736j),0.37587669257495604,(0.0004535129609813717-0.01225641013208243j),0.009911664629763438,(-1.6645916089601193e-09-1.3604256729923882e-08j),0.3084615509735221
17,(1.260762249264754e-05+0.007406254075552244j),0.37947679525248346,(0.0061701501907955696+0.010717801845710783j),0.36325356731924746,(-2.1510056694227925e-09+1.3156342491249634e-08j),-0.3084615509633016
18,(-0.006531542880612492+0.0018596011915597162j),0.3300849318627662,(-0.0004726000895385569-0.009908041445176772j),0.0,(8.337530021063922e-09-9.954844051264077e-09j),-0.04579176166824625
19,(-0.000527199761856076-0.006441662776569923j),0.3830768973496488,(-0.006612638315673953+0.00612410262022442j),0.3641649727193637,(2.545439592525879e-09-1.3895658115411191e-08j),-0.3120616534585958
20,(0.0021573789701290202+0.004614617272771644j),0.3677650788871166,(0.0013639087526675937-0.008490665544737033j),0.31297305918885604,(3.0934025388877595e-09+1.309481455974154e-08j),0.31206165347982867
21,(0.002169409051502926+0.004231798580224179j),0.3713651805720047,(-0.005256025488465687-0.005811664436427946j),-0.009911664636926519,(7.767364855719367e-09+9.284532057672088e-09j),0.045791761655690336
22,(-0.0031855996138058767+0.0028071273180161056j),0.3542533123170009,(0.0071068412798974195+0.0011478588507753233j),-0.3713651818452099,(8.040005734710674e-09+6.972583069571105e-09j),-0.047591813059206935
23,(0.0010822680552903423+0.003475366339847746j),0.3318849823446017,(0.007062719437543136+0.0007081817537638939j),-0.36776507921979734,(-7.899522145559389e-09+6.832593586882626e-09j),0.3776767439470928
24,(-0.002884636303726858-0.0018507823030379975j),0.31837321199846635,(4.332301851196181e-05-0.005949185054066145j),0.3273734720552721,(-7.946278826146374e-09-6.753467506425572e-09j),-0.3776767439425552
25,(0.0007001728916068385-0.0033820046987873653j),0.30306139735943866,(-0.005508630639435361+0.001992467004776625j),0.3542533124159121,(-2.0368964497550354e-09-9.991511736197696e-09j),-0.36145351710517076
26,(0.0008385069822708566+0.0032610680269162923j),0.32828487891824853,(-0.0035532232913565217+0.00480989752533124j),0.37496528217191566,(-1.906961356106091e-09+9.950216093558168e-09j),0.3614535171029275
