,Ax,Qx,Ay,Qy,Azeta,Qzeta
0,(0.5550466845375398-0.5738499231582691j),0.3101051147842094,(0.5488243351341301-0.5681859143071389j),0.31999090929281454,(0.1690790583726007+0.003205502886322636j),-0.0018000615686903255
1,(-0.29765121884197016-0.27607688464942587j),0.3119051763555248,(-0.299339520643659-0.2784668161192949j),0.3217909708638348,(0.003066994359297426-4.912581107833296e-05j),0.001800061566998117
2,(-0.2930471255004944-0.2954794544169259j),0.30830505320863943,(-0.2861584308416198-0.2869817084511858j),0.3181908477181077,(-0.0010304235565527888-5.56105526052147e-05j),-0.005400184705755718
3,(-0.07090727521093344+0.07963929955526802j),0.31370523791062427,(-0.07180173045099651+0.06895250416247709j),0.3163907861476518,(0.0005011958109302979-2.5564622459400766e-05j),0.0054001847053003985
4,(-0.06353633448675765+0.06036467604784336j),0.30650499163972855,(-0.06201626551960269+0.0692215924714474j),0.3235910324235486,(5.8690633630273935e-06-9.869492894780229e-06j),0.0
5,(0.01607342649097488+0.013739543564460777j),0.31550529955752404,(0.012137860470771165+0.013125168562032751j),0.3145907245935418,(8.441941623745501e-06+7.522721792232204e-07j),-0.009000307856551766
6,(0.007696226742280877+0.0084735667756274j),0.3047049300671972,(0.010976923356891094+0.009470225546241549j),0.3253910939852953,(-5.869587891609272e-06-1.2572999958062475e-07j),-5.735396228062819e-11
7,(0.0023070465479474696-0.002810614155749528j),0.3173053598869335,(-0.002461237852162255-0.0033201118235423968j),0.3717040374695923,(-5.544264438982369e-06+4.775551374852792e-07j),0.009000307828341074
8,(-0.0021210615048287253-0.0018717238207889562j),0.0,(-0.0024587256514566193-0.00378767776618982j),0.3681039144750281,(1.1618851432504322e-07-3.101141342811285e-06j),-0.003600123113918582
9,(-0.0011907144773638523-0.001612685272613192j),0.3618182428150085,(-0.0006373528974000054-0.002890580586275805j),0.3582181198192451,(4.290932476131713e-08+1.1871245197816932e-06j),0.0036001231191025575
10,(-0.0012409672757353312-0.001904135931229299j),0.3582181198670572,(0.002061111305799508-0.0018352311256855242j),0.3127906630383004,(-7.321094227554745e-08-9.113656876099062e-09j),-0.012600431124944671
11,(-0.0003247121400140675+0.0014261375422690054j),0.38158983203179825,(0.0022281790426058796-0.0013519154328943195j),0.366303852111579,(-5.070927962177009e-09+7.003685976385213e-08j),-0.007200247289897105
